epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.1423,1.22445,4.40818,0.97659,0.00421,0.53595,0.19528,0.10937,1.07995,3.76582,0.87206,0.00013336,0.00013336,0.00013336
2,17.0877,1.19034,3.43781,0.93693,0.00501,0.67974,0.238,0.1364,1.13959,3.69514,0.85981,0.000278714,0.000278714,0.000278714
3,21.6921,1.22427,2.66318,0.93011,0.00503,0.67974,0.16063,0.06545,1.1609,3.66652,0.88706,0.000419117,0.000419117,0.000419117
4,26.76,1.2128,2.51053,0.90992,0.00485,0.65033,0.07479,0.02504,1.23938,3.56364,0.92055,0.000554569,0.000554569,0.000554569
5,30.7556,1.15407,2.17169,0.92432,0.00417,0.53431,0.00575,0.00304,1.303,3.51938,0.90122,0.00068507,0.00068507,0.00068507
6,34.3752,1.22798,2.12789,0.9654,0.0056,0.73856,0.00542,0.00312,1.28524,3.50675,0.92885,0.00081062,0.00081062,0.00081062
7,39.0656,1.15768,1.96852,0.95291,0.00581,0.76797,0.0171,0.01166,1.25572,3.1895,0.91706,0.00093122,0.00093122,0.00093122
8,43.7248,1.17135,1.82205,0.92635,0.7379,0.16667,0.19905,0.14438,1.29114,3.00864,0.93268,0.00104687,0.00104687,0.00104687
9,47.4332,1.24242,1.85887,0.95331,0.12861,0.24773,0.20106,0.15113,1.28832,3.07429,0.93377,0.00115756,0.00115756,0.00115756
10,52.2513,1.07304,1.73772,0.91334,1,0.10728,0.43187,0.24726,1.29855,2.62758,0.93015,0.00126331,0.00126331,0.00126331
11,56.5402,1.11264,1.65061,0.93693,1,0.32926,0.65819,0.39912,1.28916,2.19026,0.94342,0.00136411,0.00136411,0.00136411
12,60.3401,1.16344,1.72009,0.94626,1,0.24048,0.44939,0.30895,1.31429,2.56661,0.97328,0.00136444,0.00136444,0.00136444
13,64.1662,1.1258,1.62119,0.88481,1,0.32127,0.44139,0.29669,1.25284,2.37793,0.96589,0.00133693,0.00133693,0.00133693
14,68.7338,1.12271,1.56977,0.9282,0.94924,0.30556,0.43454,0.31877,1.17956,2.19582,0.94694,0.00130943,0.00130943,0.00130943
15,72.4999,1.08163,1.37383,0.90578,0.86177,0.56536,0.73287,0.48251,1.13695,1.50694,0.92368,0.00128192,0.00128192,0.00128192
16,77.0794,1.02156,1.36063,0.91687,0.81318,0.62418,0.73494,0.42749,1.32235,1.32715,0.94702,0.00125442,0.00125442,0.00125442
17,81.5861,1.10258,1.37739,0.89974,0.82467,0.71078,0.80956,0.48815,1.27351,1.10134,0.95394,0.00122691,0.00122691,0.00122691
18,85.1417,0.99774,1.2807,0.91138,0.82968,0.61134,0.71789,0.47801,1.24808,1.2534,0.94076,0.00119941,0.00119941,0.00119941
19,89.1972,1.01638,1.2818,0.9115,0.83324,0.8268,0.83041,0.55619,1.19848,1.00049,0.92516,0.0011719,0.0011719,0.0011719
20,94.1936,1.00607,1.22845,0.91684,0.88917,0.73458,0.81664,0.54706,1.11194,1.12529,0.92073,0.0011444,0.0011444,0.0011444
21,98.25,1.01743,1.25744,0.88815,0.84941,0.74995,0.81653,0.55099,1.0881,1.0368,0.91801,0.00111689,0.00111689,0.00111689
22,102.317,1.06205,1.23322,0.92538,0.9473,0.68048,0.81144,0.55253,1.12287,0.94404,0.92924,0.00108938,0.00108938,0.00108938
23,107.119,0.9527,1.13502,0.88323,0.85238,0.71242,0.80888,0.5394,1.20476,0.92431,0.93645,0.00106188,0.00106188,0.00106188
24,110.774,0.96509,1.1116,0.88047,0.87077,0.77799,0.83547,0.55313,1.10006,0.85426,0.92053,0.00103437,0.00103437,0.00103437
25,114.677,0.93172,1.0749,0.90126,0.78956,0.79902,0.80082,0.48297,1.23703,0.986,0.92593,0.00100687,0.00100687,0.00100687
26,119.451,0.89494,1.04586,0.88331,0.7447,0.7333,0.80173,0.52434,1.08196,0.88448,0.90547,0.000979362,0.000979362,0.000979362
27,122.98,0.90722,1.05232,0.88365,0.69842,0.7514,0.78638,0.53402,1.05792,0.88124,0.8951,0.000951857,0.000951857,0.000951857
28,126.82,0.87362,0.96465,0.88739,0.89196,0.77124,0.82305,0.55028,1.07204,0.8069,0.89859,0.000924352,0.000924352,0.000924352
29,131.422,0.86156,1.00993,0.87247,0.86286,0.76961,0.8414,0.54738,1.1371,0.81382,0.9086,0.000896846,0.000896846,0.000896846
30,135.372,0.88304,0.95481,0.85761,0.88659,0.71078,0.84054,0.5708,1.13074,0.77972,0.89771,0.00086934,0.00086934,0.00086934
31,139.059,0.93636,0.98707,0.8659,0.8865,0.76366,0.85335,0.56071,1.08722,0.78576,0.89539,0.000841835,0.000841835,0.000841835
32,143.904,0.84068,0.94394,0.86237,0.84595,0.76961,0.82638,0.5851,1.05077,0.74413,0.89376,0.000814329,0.000814329,0.000814329
33,147.331,0.84302,0.91633,0.86267,0.8621,0.79902,0.83411,0.59188,1.02911,0.72964,0.89295,0.000786824,0.000786824,0.000786824
34,151.317,0.87505,0.93783,0.84349,0.87971,0.76097,0.81724,0.5691,1.01821,0.73436,0.88975,0.000759318,0.000759318,0.000759318
35,155.631,0.8708,0.85745,0.85786,0.85887,0.82843,0.84428,0.58998,1.00396,0.80074,0.89087,0.000731813,0.000731813,0.000731813
36,159.533,0.85109,0.88959,0.85143,0.89653,0.76184,0.84134,0.60192,1.02424,0.896,0.90096,0.000704307,0.000704307,0.000704307
37,163.083,0.8461,0.89961,0.88272,0.90565,0.7402,0.82115,0.59356,1.00278,0.76494,0.88813,0.000676802,0.000676802,0.000676802
